API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Fri Apr 10 21:30:18 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Mar-28 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Apr-15 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260410.p260707
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-APR-10. PREDICTS-> 2026-JUL-06
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461130.916666667, A.D. 2026-Mar-31 10:00:00.0000, -3.825880975693352E+05,  6.337762792741309E+04, -7.450205235885071E+03, -2.026204351231253E-01, -9.932731015297771E-01, -9.082343970621820E-02,
2461130.958333333, A.D. 2026-Mar-31 11:00:00.0000, -3.833005624358132E+05,  5.979899297199339E+04, -7.776829098521985E+03, -1.931922300943922E-01, -9.948422598449997E-01, -9.063293420983626E-02,
2461131.000000000, A.D. 2026-Mar-31 12:00:00.0000, -3.839790738714883E+05,  5.621487284286560E+04, -8.102752824864472E+03, -1.837575628710817E-01, -9.963204298301316E-01, -9.043448095841228E-02,
2461131.041666667, A.D. 2026-Mar-31 13:00:00.0000, -3.846236101753354E+05,  5.262559498952705E+04, -8.427947866663795E+03, -1.743173012643722E-01, -9.977076731715233E-01, -9.022811542890519E-02,
2461131.083333333, A.D. 2026-Mar-31 14:00:00.0000, -3.852341527655059E+05,  4.903148662417184E+04, -8.752385804518195E+03, -1.648723103245599E-01, -9.990040600084142E-01, -9.001387372468805E-02,
2461131.125000000, A.D. 2026-Mar-31 15:00:00.0000, -3.858106861692340E+05,  4.543287469136412E+04, -9.076038350113713E+03, -1.554234522551708E-01, -1.000209668875138E+00, -8.979179256762221E-02,
2461131.166666667, A.D. 2026-Mar-31 16:00:00.0000, -3.863531980124345E+05,  4.183008583792143E+04, -9.398877348436399E+03, -1.459715863280707E-01, -1.001324586642260E+00, -8.956190929007479E-02,
2461131.208333333, A.D. 2026-Mar-31 17:00:00.0000, -3.868616790089984E+05,  3.822344638301174E+04, -9.720874779955702E+03, -1.365175687995930E-01, -1.002348908456657E+00, -8.932426182688219E-02,
2461131.250000000, A.D. 2026-Mar-31 18:00:00.0000, -3.873361229497867E+05,  3.461328228846821E+04, -1.004200276277878E+04, -1.270622528277051E-01, -1.003282737680571E+00, -8.907888870726016E-02,
2461131.291666667, A.D. 2026-Mar-31 19:00:00.0000, -3.877765266913296E+05,  3.099991912932509E+04, -1.036223355477568E+04, -1.176064883902319E-01, -1.004126185829623E+00, -8.882582904666420E-02,
2461131.333333333, A.D. 2026-Mar-31 20:00:00.0000, -3.881828901442317E+05,  2.738368206457860E+04, -1.068153955567502E+04, -1.081511222041561E-01, -1.004879372509841E+00, -8.856512253860160E-02,
2461131.375000000, A.D. 2026-Mar-31 21:00:00.0000, -3.885552162612898E+05,  2.376489580817633E+04, -1.099989330913019E+04, -9.869699764601550E-02, -1.005542425353689E+00, -8.829680944639667E-02,
2461131.416666667, A.D. 2026-Mar-31 22:00:00.0000, -3.888935110253255E+05,  2.014388460023874E+04, -1.131726750475580E+04, -8.924495467341334E-02, -1.006115479955128E+00, -8.802093059491256E-02,
2461131.458333333, A.D. 2026-Mar-31 23:00:00.0000, -3.891977834367375E+05,  1.652097217851597E+04, -1.163363498013432E+04, -7.979582974766319E-02, -1.006598679803731E+00, -8.773752736223139E-02,
2461131.500000000, A.D. 2026-Apr-01 00:00:00.0000, -3.894680455007774E+05,  1.289648175008370E+04, -1.194896872279250E+04, -7.035045575758354E-02, -1.006992176217861E+00, -8.744664167129373E-02,
2461131.541666667, A.D. 2026-Apr-01 01:00:00.0000, -3.897043122145533E+05,  9.270735963281131E+03, -1.226324187214790E+04, -6.090966194446214E-02, -1.007296128276940E+00, -8.714831598150247E-02,
