date,eq_count,max_magnitude,mean_depth_km,energy_log10,dispersion_km
2017-06-18,1,4.8,524.65,12.0,0.0
2017-06-19,2,4.7,572.3399999999999,12.026434862436489,0.0
2017-06-20,1,4.5,454.74,11.55,0.0
2017-06-21,1,4.6,420.31,11.7,0.0
2017-06-22,2,4.9,582.5,12.451029995663982,0.0
2017-06-23,0,,,,
2017-06-24,0,,,,
2017-06-25,0,,,,
2017-06-26,0,,,,
2017-06-27,1,4.5,525.32,11.55,0.0
2017-06-28,1,4.7,643.3,11.85,0.0
2017-06-29,3,6.0,502.00666666666666,13.804857171718922,545.5606368626537
2017-06-30,0,,,,
2017-07-01,0,,,,
2017-07-02,1,4.5,569.23,11.55,0.0
2017-07-03,0,,,,
2017-07-04,0,,,,
2017-07-05,0,,,,
2017-07-06,1,4.7,515.08,11.85,0.0
2017-07-07,1,4.6,379.04,11.7,0.0
2017-07-08,0,,,,
2017-07-09,2,4.6,475.75,11.932474080687586,0.0
2017-07-10,2,4.6,523.9000000000001,12.00102999566398,0.0
2017-07-11,2,5.0,431.24,12.371081852649532,0.0
2017-07-12,1,5.9,545.0,13.650000000000002,0.0
2017-07-13,1,4.5,532.96,11.55,0.0
2017-07-14,1,4.5,552.93,11.55,0.0
2017-07-15,1,4.7,500.19,11.85,0.0
2017-07-16,1,4.6,499.11,11.7,0.0
2017-07-17,1,4.5,586.48,11.55,0.0
2017-07-18,0,,,,
2017-07-19,0,,,,
2017-07-20,1,4.5,487.99,11.55,0.0
2017-07-21,2,4.9,470.53,12.281879480002065,0.0
2017-07-22,0,,,,
2017-07-23,0,,,,
2017-07-24,0,,,,
2017-07-25,1,4.6,390.76,11.7,0.0
2017-07-26,2,4.9,458.5,12.281879480002065,0.0
2017-07-27,0,,,,
2017-07-28,0,,,,
2017-07-29,0,,,,
2017-07-30,2,5.0,560.79,12.397322793708696,0.0
2017-07-31,2,4.5,546.565,11.851029995663982,0.0
2017-08-01,2,5.1,469.46,12.501496942025229,0.0
2017-08-02,0,,,,
2017-08-03,1,4.5,580.96,11.55,0.0
2017-08-04,0,,,,
2017-08-05,0,,,,
2017-08-06,0,,,,
2017-08-07,0,,,,
2017-08-08,0,,,,
2017-08-09,1,4.7,583.89,11.85,0.0
2017-08-10,1,5.0,524.62,12.3,0.0
2017-08-11,0,,,,
2017-08-12,0,,,,
2017-08-13,2,4.8,405.215,12.176434862436484,0.0
2017-08-14,0,,,,
2017-08-15,0,,,,
2017-08-16,2,4.5,542.1700000000001,11.851029995663982,0.0
2017-08-17,1,4.5,382.11,11.55,0.0
2017-08-18,1,4.5,515.92,11.55,0.0
2017-08-19,2,6.4,567.7,14.400865668082796,0.0
2017-08-20,0,,,,
2017-08-21,1,4.5,532.1,11.55,0.0
2017-08-22,0,,,,
2017-08-23,0,,,,
2017-08-24,1,4.5,486.12,11.55,0.0
2017-08-25,0,,,,
2017-08-26,1,4.6,576.57,11.7,0.0
2017-08-27,2,4.7,456.735,12.026434862436489,0.0
2017-08-28,2,4.6,486.4,11.932474080687586,0.0
2017-08-29,0,,,,
2017-08-30,3,4.7,549.3333333333334,12.194221866731146,304.5518506163229
2017-08-31,1,4.5,499.89,11.55,0.0
2017-09-01,0,,,,
2017-09-02,0,,,,
2017-09-03,1,4.5,527.28,11.55,0.0
2017-09-04,5,5.0,482.64,12.59262327478455,2356.420336268259
2017-09-05,1,4.5,568.4,11.55,0.0
2017-09-06,0,,,,
2017-09-07,4,6.1,473.34,13.967958242429509,3406.535030143293
2017-09-08,0,,,,
2017-09-09,0,,,,
2017-09-10,1,4.5,508.03,11.55,0.0
2017-09-11,0,,,,
2017-09-12,0,,,,
2017-09-13,3,4.7,581.4,12.233077438168312,3335.7115438194164
2017-09-14,0,,,,
2017-09-15,1,4.5,522.66,11.55,0.0
2017-09-16,2,4.9,539.3299999999999,12.281879480002065,0.0
2017-09-17,2,4.9,576.095,12.247322793708696,0.0
2017-09-18,0,,,,
2017-09-19,0,,,,
